id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1829137,1832016,1,0.31465798,0.090909091,35,0.041666667,0.5,1,1
1829137,1844454,0,3.083390054,0.24,168,0.857142857,1,0,1
1829137,1861124,5,2.884149692,0.75,49,0.755952381,1,5,1
1829152,1830884,15,8.172463225,0.525,858,1.613754666,1,15,1
1829152,1851005,15,8.172463225,0.525,858,1.613754666,1,15,1
1829152,1879996,0,0.679246544,0.043478261,351,0.105263158,0.5,0,1
1829152,1880010,0,0.679246544,0.043478261,351,0.105263158,0.5,0,1
1829152,1886905,11,4.545743359,0.3,507,0.86013986,1,11,1
1829208,1829222,4,0.303413076,0.125,20,0.037037037,0.5,4,1
1829208,1829459,4,2.319124417,0.142857143,135,0.711111111,1,4,1
1829222,1829459,5,1.526206729,0.107142857,108,0.416666667,1,5,1
1829235,1840421,2,1.270912987,0.058823529,320,0.395833333,1,2,1
1829352,1839684,0,3.640956907,0.8,81,0.888888889,1,0,1
1829352,1873844,0,3.640956907,0.8,81,0.888888889,1,0,1
1829374,1861128,3,2.485339738,0.666666667,25,0.8,1,3,1
1829437,1832506,5,2.485339738,0.666666667,25,0.8,1,5,1
1829437,1850261,0,2.485339738,0.666666667,25,0.8,1,0,1
1829448,1840421,4,0.269282508,0.045454545,112,0.024390244,0.5,4,1
1829459,1829942,0,6.278621161,0.392857143,324,1.897619048,1,0,1
1829459,1830089,11,6.278621161,0.392857143,324,1.897619048,1,11,1
1829459,1847880,0,2.047529078,0.142857143,135,0.566666667,1,0,1
1829459,1868603,8,3.835029615,0.321428571,270,0.8625,1,8,1
1829465,1846547,9,3.575708538,0.571428571,117,0.854700855,1,9,1
1829465,1850021,16,3.575708538,0.571428571,117,0.854700855,1,16,1
1829717,1837757,0,0,0,1,0,1,0,1
1829789,1837043,2,0.378923182,0.076923077,45,0.071428571,0.5,2,1
1829789,1850605,6,2.211687825,0.266666667,70,0.653968254,1,6,1
1829878,1842767,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1842803,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1842820,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1866086,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1866284,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1867416,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1867541,16,3.366288429,0.4375,120,0.875,1,16,1
1829878,1867585,16,3.366288429,0.4375,120,0.875,1,16,1
1829906,1902832,6,2.634872111,0.454545455,60,0.75,1,6,1
1829942,1830089,0,6.179604632,0.846153846,144,1.851322751,1,0,1
1829942,1847880,0,1.948512549,0.307692308,60,0.52037037,1,0,1
1829942,1868603,0,0.303413076,0.047619048,120,0.037037037,0.5,0,1
1829990,1830975,7,2.953524108,0.545454545,70,0.787337662,1,7,1
1829990,1849030,9,2.873920247,0.75,49,0.744480519,1,9,1
1829990,1849065,9,2.873920247,0.75,49,0.744480519,1,9,1
1829990,1849628,7,2.970786198,0.5,77,0.796428571,1,7,1
1830089,1847880,0,1.948512549,0.307692308,60,0.52037037,1,0,1
1830089,1868603,4,0.303413076,0.047619048,120,0.037037037,0.5,4,1
1830154,1837699,6,2.295666814,0.571428571,30,0.7,1,6,1
1830154,1848780,5,3.080238643,0.714285714,36,0.983333333,1,5,1
1830154,1870898,5,3.080238643,0.714285714,36,0.983333333,1,5,1
1830154,1871888,5,3.080238643,0.714285714,36,0.983333333,1,5,1
1830412,1895419,4,2.485339738,0.333333333,55,0.8,1,4,1
1830412,1898474,5,2.790553133,0.416666667,66,0.833333333,1,5,1
1830457,1838344,0,3.366288429,0.14,392,0.875,1,0,1
1830457,1864097,2,3.366288429,0.14,392,0.875,1,2,1
1830457,1876773,0,3.366288429,0.14,392,0.875,1,0,1
1830457,1878083,0,3.366288429,0.14,392,0.875,1,0,1
1830457,1879198,0,3.366288429,0.14,392,0.875,1,0,1
1830457,1879358,0,3.366288429,0.14,392,0.875,1,0,1
1830635,1864746,7,2.485339738,0.666666667,25,0.8,1,7,1
1830635,1864845,5,2.485339738,0.666666667,25,0.8,1,5,1
1830713,1856288,0,5.831196553,0.619047619,280,1.408661192,1,0,1
1830713,1856292,7,2.959998134,0.333333333,160,0.662337662,1,7,1
1830713,1856361,0,2.666736988,0.238095238,120,0.766666667,1,0,1
1830713,1861430,6,3.212222703,0.233333333,340,0.796266234,1,6,1
1830713,1862199,5,2.787472675,0.2,320,0.701680672,1,5,1
1830713,1866559,10,2.959998134,0.333333333,160,0.662337662,1,10,1
1830713,1872494,0,2.634248093,0.285714286,140,0.621323529,1,0,1
1830713,1873522,5,2.634248093,0.285714286,140,0.621323529,1,5,1
1830742,1835683,3,2.000805667,0.428571429,24,0.666666667,1,3,1
1830742,1869456,4,1.442695041,0.142857143,12,0.5,1,4,1
1830820,1831023,5,2.622313751,0.714285714,36,0.743589744,1,5,1
1830820,1831038,5,2.790553133,0.357142857,78,0.833333333,1,5,1
1830820,1877890,0,2.622313751,0.714285714,36,0.743589744,1,0,1
1830820,1877891,5,2.622313751,0.714285714,36,0.743589744,1,5,1
1830839,1843160,3,2.164042561,0.6,16,0.75,1,3,1
1830839,1849062,0,2.164042561,0.6,16,0.75,1,0,1
1830839,1865262,3,2.164042561,0.6,16,0.75,1,3,1
1830839,1872366,4,2.164042561,0.6,16,0.75,1,4,1
1830884,1851005,24,8.121906192,0.913043478,484,1.593941147,1,24,1
1830884,1879996,0,0.679246544,0.068965517,198,0.105263158,0.5,0,1
1830884,1880010,0,0.679246544,0.068965517,198,0.105263158,0.5,0,1
1830975,1849030,7,2.953524108,0.545454545,70,0.787337662,1,7,1
1830975,1849065,7,2.953524108,0.545454545,70,0.787337662,1,7,1
1830975,1849628,7,3.050390059,0.4,110,0.839285714,1,7,1
1830998,1895193,0,3.188803157,0.466666667,112,0.787037037,1,0,1
1831023,1831038,5,2.790553133,0.357142857,78,0.833333333,1,5,1
1831023,1877890,0,2.622313751,0.714285714,36,0.743589744,1,0,1
1831023,1877891,5,2.622313751,0.714285714,36,0.743589744,1,5,1
1831038,1877890,0,2.790553133,0.357142857,78,0.833333333,1,0,1
1831038,1877891,7,2.790553133,0.357142857,78,0.833333333,1,7,1
1831315,1845172,0,2.164042561,0.6,16,0.75,1,0,1
1831410,1876837,3,1.820478453,0.5,9,0.666666667,1,3,1
1831560,1865316,0,2.790553133,0.714285714,36,0.833333333,1,0,1
1831560,1865609,2,2.790553133,0.714285714,36,0.833333333,1,2,1
1831801,1837442,9,3.48288688,0.8,81,0.805555556,1,9,1
1831801,1859275,9,3.535576889,0.615384615,108,0.833333333,1,9,1
1831821,1870837,12,4.954595694,0.285714286,243,1.583333333,1,12,1
1831836,1861430,3,0.851326873,0.111111111,51,0.190909091,1,3,1
1831934,1884386,5,2.164042561,0.6,16,0.75,1,5,1
1832016,1844454,0,2.120953975,0.16,120,0.620408163,1,0,1
1832016,1861124,1,0.31465798,0.090909091,35,0.041666667,0.5,1,1
1832134,1832350,4,2.485339738,0.4,45,0.8,1,4,1
1832134,1851795,0,2.485339738,0.4,45,0.8,1,0,1
1832134,1879889,0,2.485339738,0.4,45,0.8,1,0,1
1832162,1841895,1,0,0,1,0,1,1,1
1832273,1864539,8,3.103634427,0.28,192,0.737373737,1,8,1
1832273,1866881,11,9.402095276,0.68,432,2.771103896,1,11,1
1832273,1867460,10,7.601707855,0.52,336,2.346031746,1,10,1
1832350,1879889,0,2.319124417,0.666666667,25,0.711111111,1,0,1
1832457,1832510,8,2.000805667,0.115384615,100,0.666666667,1,8,1
1832457,1832616,8,1.753362508,0.428571429,24,0.54,1,8,1
1832457,1842851,2,0.310667467,0.071428571,44,0.04,0.5,2,1
1832457,1867617,8,1.590125614,0.6,16,0.456666667,1,8,1
1832484,1838138,6,3.640956907,0.8,81,0.888888889,1,6,1
1832484,1872626,6,3.640956907,0.8,81,0.888888889,1,6,1
1832506,1850261,0,2.485339738,0.666666667,25,0.8,1,0,1
1832510,1832616,12,3.984521015,0.192307692,150,1.416666667,1,12,1
1832510,1842851,10,4.106247647,0.384615385,275,0.877005348,1,10,1
1832510,1867617,8,2.000805667,0.115384615,100,0.666666667,1,8,1
1832722,1856998,3,1.820478453,0.5,9,0.666666667,1,3,1
1832994,1881414,6,2.344903151,0.444444444,40,0.725,1,6,1
1832994,1883794,8,4.6493823,0.777777778,64,1.55,1,8,1
1833166,1867201,5,2.344903151,0.333333333,55,0.725,1,5,1
1833166,1897959,5,2.281037195,0.444444444,40,0.690909091,1,5,1
1833212,1833241,4,2.164042561,0.6,16,0.75,1,4,1
1833416,1841359,0,1.442695041,0.25,6,0.5,1,0,1
1833455,1856174,16,5.535562145,0.695652174,374,0.891329259,1,16,1
1833802,1833820,0,3.083390054,0.75,49,0.857142857,1,0,1
1833802,1833826,6,3.083390054,0.75,49,0.857142857,1,6,1
1833802,1849128,0,3.083390054,0.75,49,0.857142857,1,0,1
1833820,1833826,0,3.083390054,0.75,49,0.857142857,1,0,1
1833820,1849128,2,3.083390054,0.75,49,0.857142857,1,2,1
1833826,1849128,0,3.083390054,0.75,49,0.857142857,1,0,1
1833927,1833943,0,1.820478453,0.5,9,0.666666667,1,0,1
1833927,1841207,2,1.820478453,0.5,9,0.666666667,1,2,1
1833927,1874561,0,1.820478453,0.5,9,0.666666667,1,0,1
1834012,1835609,2,1.442695041,0.090909091,20,0.5,1,2,1
1834017,1855676,7,3.083390054,0.75,49,0.857142857,1,7,1
1834017,1856786,6,3.083390054,0.75,49,0.857142857,1,6,1
1834029,1856957,5,1.820478453,0.5,9,0.666666667,1,5,1
1834029,1856986,5,1.820478453,0.5,9,0.666666667,1,5,1
1834052,1846801,6,2.51370892,0.172413793,253,0.695238095,1,6,1
1834052,1847026,2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
1834052,1848312,2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
1834052,1855739,6,2.274527283,0.416666667,66,0.572049689,1,6,1
1834052,1867552,2,0.318928989,0.041666667,154,0.043478261,0.5,2,1
1834189,1835617,4,1.442695041,0.066666667,28,0.5,1,4,1
1834292,1835816,4,2.164042561,0.6,16,0.75,1,4,1
1834292,1848097,0,2.164042561,0.6,16,0.75,1,0,1
1834292,1874185,4,2.164042561,0.6,16,0.75,1,4,1
1834375,1837201,0,3.173455886,0.388888889,136,0.774853801,1,0,1
1834375,1857467,9,4.109473847,0.444444444,153,1.122076023,1,9,1
1834375,1888615,9,4.109473847,0.444444444,153,1.122076023,1,9,1
1834375,1913793,0,3.173455886,0.388888889,136,0.774853801,1,0,1
1834488,1857036,4,2.253876049,0.666666667,25,0.676923077,1,4,1
1834488,1887950,0,2.253876049,0.666666667,25,0.676923077,1,0,1
1834592,1867576,1,1.442695041,0.25,6,0.5,1,1,1
1834601,1836535,6,2.164042561,0.6,16,0.75,1,6,1
1834601,1856476,6,2.164042561,0.6,16,0.75,1,6,1
1834755,1863306,3,4.106247647,0.588235294,176,0.877005348,1,3,1
1834880,1884127,2,2.790553133,0.714285714,36,0.833333333,1,2,1
1834907,1834922,0,10.95310864,0.47826087,1155,2.943528694,1,0,1
1834907,1846035,0,2.447340205,0.176470588,231,0.53009768,1,0,1
1834907,1859796,0,5.365730282,0.352941176,429,1.297954823,1,0,1
1834907,1862170,0,2.447340205,0.176470588,231,0.53009768,1,0,1
1834922,1846035,4,2.452073458,0.166666667,245,0.531829282,1,4,1
1834922,1859796,3,5.370463535,0.333333333,455,1.299686425,1,3,1
1834922,1862170,0,2.452073458,0.166666667,245,0.531829282,1,0,1
1834981,1835561,4,1.923593388,0.333333333,32,0.625,1,4,1
1834981,1855385,6,1.923593388,0.333333333,32,0.625,1,6,1
1835028,1865723,2,1.442695041,0.090909091,20,0.5,1,2,1
1835123,1844389,5,2.485339738,0.666666667,25,0.8,1,5,1
1835123,1881443,5,2.485339738,0.666666667,25,0.8,1,5,1
1835155,1869380,4,2.634872111,0.714285714,36,0.75,1,4,1
1835461,1866366,6,3.878798443,0.5,104,1.15,1,6,1
1835461,1874115,0,3.878798443,0.5,104,1.15,1,0,1
1835461,1875092,0,2.064029975,0.285714286,65,0.575,1,0,1
1835461,1875343,6,3.878798443,0.5,104,1.15,1,6,1
1835526,1860810,2,1.820478453,0.111111111,51,0.666666667,1,2,1
1835526,1875147,0,1.468349853,0.111111111,51,0.5,1,0,1
1835530,1837046,7,3.024611325,0.666666667,56,0.825396825,1,7,1
1835530,1837925,9,2.99161133,0.75,49,0.807539683,1,9,1
1835530,1860671,7,2.99161133,0.75,49,0.807539683,1,7,1
1835530,1860684,7,3.050390059,0.6,63,0.839285714,1,7,1
1835530,1861856,9,2.99161133,0.75,49,0.807539683,1,9,1
1835530,1861881,7,2.99161133,0.75,49,0.807539683,1,7,1
1835683,1869456,2,0.558110627,0.2,8,0.166666667,0.5,2,1
1835762,1858036,3,2.164042561,0.136363636,84,0.75,1,3,1
1835762,1858177,3,0.328458739,0.125,20,0.047619048,0.5,3,1
1835762,1859245,2,0.328458739,0.066666667,48,0.047619048,0.5,2,1
1835816,1848097,0,2.164042561,0.6,16,0.75,1,0,1
1835816,1874185,4,2.164042561,0.6,16,0.75,1,4,1
1835862,1863492,2,0.72134752,0.2,8,0.25,1,2,1
1835963,1858213,17,6.483856115,0.390243902,810,1.381481481,1,17,1
1835963,1858316,24,6.864962327,0.678571429,540,1.212037037,1,24,1
1835963,1859308,13,3.328144859,0.285714286,243,0.737037037,1,13,1
1835963,1859327,24,6.864962327,0.678571429,540,1.212037037,1,24,1
1835963,1859368,24,6.864962327,0.678571429,540,1.212037037,1,24,1
1835963,1859500,34,10.08119475,0.928571429,729,2.002777778,1,34,1
1835963,1859555,3,0.588028208,0.051282051,378,0.066666667,0.5,3,1
1836089,1877497,3,1.820478453,0.5,9,0.666666667,1,3,1
1840384,1840421,4,3.034448003,0.411764706,128,0.711890244,1,4,-1
1840384,1843105,0,0.269282508,0.0625,72,0.024390244,0.5,0,-1
1840384,1845379,4,0.269282508,0.071428571,56,0.024390244,0.5,4,-1
1840384,1849070,0,3.034448003,0.411764706,128,0.711890244,1,0,-1
1840384,1850116,2,0.269282508,0.047619048,112,0.024390244,0.5,2,-1
1840384,1850125,4,0.269282508,0.071428571,56,0.024390244,0.5,4,-1
1840384,1850145,4,0.269282508,0.037037037,160,0.024390244,0.5,4,-1
1840384,1854967,4,0.269282508,0.047619048,112,0.024390244,0.5,4,-1
1840384,1854987,4,0.269282508,0.0625,72,0.024390244,0.5,4,-1
1840384,1856759,0,0.269282508,0.03125,200,0.024390244,0.5,0,-1
1840384,1863431,4,3.125839255,0.166666667,328,0.75,1,4,-1
1840384,1864624,0,0.990630029,0.333333333,32,0.149390244,0.5,0,-1
1840384,1865754,0,0.269282508,0.043478261,128,0.024390244,0.5,0,-1
1840384,1870837,2,0.72134752,0.060606061,216,0.125,0.5,2,-1
1840384,1871987,0,0.269282508,0.052631579,96,0.024390244,0.5,0,-1
1840384,1872579,0,0.269282508,0.047619048,112,0.024390244,0.5,0,-1
1840384,1880320,0,0.72134752,0.222222222,24,0.125,0.5,0,-1
1840384,1880435,0,0.990630029,0.3,40,0.149390244,0.5,0,-1
1840384,1882884,0,0.269282508,0.052631579,96,0.024390244,0.5,0,-1
1840384,1884221,4,0.269282508,0.071428571,56,0.024390244,0.5,4,-1
1840384,1884484,0,2.914223416,0.777777778,64,0.649390244,1,0,-1
1840384,1884533,2,0.269282508,0.071428571,56,0.024390244,0.5,2,-1
1840384,1885543,2,0.269282508,0.071428571,56,0.024390244,0.5,2,-1
1840384,1885568,0,2.914223416,0.777777778,64,0.649390244,1,0,-1
1840384,1885962,0,2.914223416,0.777777778,64,0.649390244,1,0,-1
1840384,1885975,0,2.914223416,0.777777778,64,0.649390244,1,0,-1
1840384,1886924,0,0.269282508,0.090909091,32,0.024390244,0.5,0,-1
1840384,1888879,4,0.269282508,0.047619048,112,0.024390244,0.5,4,-1
1840384,1896254,4,0.269282508,0.047619048,112,0.024390244,0.5,4,-1
1840384,1896733,0,0.269282508,0.047619048,112,0.024390244,0.5,0,-1
1840384,1902691,2,0.72134752,0.2,32,0.125,0.5,2,-1
1840384,1903029,2,0.269282508,0.090909091,32,0.024390244,0.5,2,-1
